,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
1120,1Q84. Libros 1 y 2,"MURAKAMI, HARUKI",Narrativa,31,7.53,522,Muy bueno,51,"En japonés, la letra q y el número 9 son homófonos, los dos se pronuncian kyu, de manera que 1Q84 es, sin serlo, 1984, una fecha de ecos orwellianos. Esa variación en la grafía refleja la sutil altera"
1121,EL PRISIONERO DEL CIELO (El Cementerio de los Libros Olvidados 3),"RUIZ ZAFÓN, CARLOS",Narrativa,32,7.52,1.231,Muy bueno,94,"Barcelona, 1957. Daniel Sempere y su amigo Fermín, los héroes de La Sombra del Viento, regresan de nuevo a la aventura para afrontar el mayor desafío de sus vidas. Justo cuando todo empezaba a sonreír"
1122,LA PERLA,"STEINBECK, JOHN",Narrativa,33,7.49,408,Muy bueno,46,"Esta novela breve narra el hallazgo de una perla de incalculable valor y las consecuencias que acarrea a un modesto pescador, Kino, cuyo hijo ha sido víctima de la picadura de un escorpión. Sin embarg"
1123,1Q84. Libro 3,"MURAKAMI, HARUKI",Narrativa,34,7.45,399,Muy bueno,34,"A las voces de Aomame –la enigmática instructora de gimnasia y asesina– y de Tengo –el profesor de matemáticas y escritor–, se suma, en este tercer volumen de la novela 1Q84, la de un nuevo personaje,"
1124,EL PALACIO DE LA LUNA,"AUSTER, PAUL",Narrativa,35,7.45,317,Muy bueno,22,"Marco Stanley Fogg (por Marco Polo, por el Stanley que encontró a Livingstone y por el Phileas Fogg de La vuelta al mundo en ochenta días) está a las puertas de la edad adulta cuando los astronautas p"
1125,EL AMANTE JAPONÉS,"ALLENDE, ISABEL",Narrativa,36,7.43,317,Muy bueno,61,La historia de amor entre la joven Alma Belasco y el jardinero japonés Ichimei conduce al lector por un recorrido a través de  diversos escenarios que van desde la Polonia de la Segunda Guerra Mundial
1126,EMMA,"AUSTEN, JANE",Narrativa,37,7.43,318,Muy bueno,13,"Cuando la joven Emma -hija soltera del rico y distinguido señor Woodhouse- pierde la compañía de su antigua institutriz, toma bajo su tutela a la humilde Harriet Smith. Su extracción humilde y su simp"
1127,EL CUENTO DE LA CRIADA,"ATWOOD, MARGARET",Narrativa,38,7.35,334,Muy bueno,55,"Amparándose en la coartada del terrorismo islámico, unos políticos teócratas se hacen con el poder y, como primera medida, suprimen la libertad de prensa y los derechos de las mujeres. Esta trama, inq"
1128,INÉS DEL ALMA MÍA,"ALLENDE, ISABEL",Narrativa,39,7.33,453,Muy bueno,33,"Inés Suárez es una joven y humilde costurera extremeña que se embarca hacia el Nuevo Mundo para buscar a su marido, extraviado con sus sueños de gloria al otro lado del Atlántico. Anhela también una v"
1129,LOS GIRASOLES CIEGOS,"MÉNDEZ, ALBERTO",Narrativa,40,7.33,428,Muy bueno,43,"Premio Nacional de Narrativa 2005. Un capitán del ejército de Franco que, el mismo día de la Victoria, renuncia a ganar la guerra; un niño poeta que huye asustado con su compañera niña embarazada y vi"
1130,ABD AL-RAHMAN AL-DAHIL,"VALDIVIESO RAMOS, DANIEL",Narrativa historica,1,10,3,Excelente,1,"La muerte del gran califa Hisham y su controvertida decisión de legar el poder a su disoluto sobrino al-Walid parecen haber abierto una profunda herida en el seno de la dinastía Omeya, que rige el des"
1131,EL SUEÑO DE BRAHMA.  LA LUNA CRECIENTE,"SÁEZ SCHULZ, CHRISTIAN",Narrativa historica,2,10,1,Excelente,0,"India Maurya del siglo III a.C. Chandra, un huérfano de baja casta, nos relata sus aciagas experiencias tras hacer frente a las supersticiones y prejuicios de su sociedad. Seguirá las lecciones de su "
1132,PARTE CUARTA DE LA LEYENDA DEL YNGENIOSO HIDALGO DON QUIJOTE DE LA MANCHA,"BESNÉ, ADRIÁN",Narrativa historica,3,10,1,Excelente,1,"Se cuenta en esta Parte Cuarta que, queriendo don Quijote, trocado agora don Alonso, que Sancho estudie, y habiendo ya aprendido en la aldea todo lo que el Bachiller y el Cura pueden enseñarle de las "
1133,PUERTO PROHIBIDO,"GUARINONI, MARIANA",Narrativa historica,4,10,1,Excelente,0,"Piamonte, 1613. Acostumbrada al lujo en la corte real de Torino, Isabella di Leonardi es arrastrada a vivir una pesadilla por una falsa acusación de brujería. Detenida por el Santo Oficio, siente que "
1134,SPICULUS,"TRANCHE, JUAN",Narrativa historica,5,9,10,Excelente,1,"Una trama repleta de acción que nos sumerge en el mundo de los gladiadores y su entorno.Pompeya. Siglo I d.C. Lucio y su esclavo Ronet son amigos desde niños. Su vida transcurre entre ilusiones, afici"
1135,LIBELO DE SANGRE,"AZA, SANDRA",Narrativa historica,6,8.82,9,Muy bueno,4,"Madrid, invierno de 1620. La felicidad del matrimonio formado por Sebastián Castro, un reputado escribano de la Villa, y Margarita Carvajal se tambalea cuando ambos se convierten en los principales so"
1136,MÉXICO NEGRO,"MARTÍN MORENO, FRANCISCO",Narrativa historica,7,8,1,Muy bueno,1,"La inquietud por descubrir cómo se había financiado la Revolución Mexicana y quién aportó los recursos para que nos mataramos entre los mexicanos, fue el detonante que dio origen a esta reveladora nov"
1137,EL CIRUJANO,"SLAUGHTER, FRANK G.",Narrativa historica,8,8,1,Muy bueno,0,"

"
1138,LA HUIDA DEL HERESIARCA,"CABEZAS VELASCO, MANUEL",Narrativa historica,9,8,1,Muy bueno,0,"Un antiguo aprendiz de librero había recibido un texto junto con otros escritos de manos de un fugitivo converso, huido de la Inquisición, allá por el año de 1483. Él mismo también tenía un pasado en "
1139,LÍNEA DE FUEGO,"PÉREZ-REVERTE, ARTURO",Narrativa historica,10,7.81,90,Muy bueno,15,"En la noche del 24 al 25 de julio de 1938, durante la batalla del Ebro, 2.890 hombres y 14 mujeres de la XI Brigada Mixta del ejército de la República cruzan el río para establecer la cabeza de puente"
1140,EL ESPEJO DE LAS ALMAS,"ESCOBAR, MARIO",Narrativa historica,11,7.67,6,Muy bueno,2,"Lovaina, comienzos del siglo XIII . En una floreciente comunidad de beguinas -mujeres laicas que decidían vivir juntas apartadas de los hombres, consagradas a sus labores intelectuales y al cuidado de"
1141,EL PRIMER SENADOR DE ROMA,"TORRES ZALBA, JUAN",Narrativa historica,12,7.33,3,Muy bueno,1,"En pleno siglo II antes de Cristo, Roma es la máxima potencia del Mediterráneo tras haber derrotado a la Cartago de Aníbal y a los poderosos reinos de Siria y Macedonia. Sin embargo, pese a su posició"
1142,LOS ANÓNIMOS DE LA GUERRA DE CUBA,"VIVAR, EMILIO",Narrativa historica,13,7,1,Muy bueno,1,"Esta historia está contada en tres planos: el de la actualidad, el de la década de los cincuenta del siglo pasado y el de la guerra de Cuba. La correspondencia entre una historiadora y un biólogo pert"
1143,LA VISITA EN EL TIEMPO,"ÚSLAR PIETRI, ARTURO",Narrativa historica,14,7,1,Muy bueno,0,"Don Juan de Austria nos aparece siempre envuelto por la leyenda: su resonante triunfo en Lepanto, su repentina muerte en plena juventud, su protagonismo en la conjura de Antonio Pérez, las vidriosas r"
1144,"¡BERNABÉ, BERNABÉ!","MATTOS, TOMÁS DE",Narrativa historica,15,7,1,Muy bueno,0,"En esta versión definitiva, Tomás de Mattos nos introduce en los años 1831-1832 de nuestra historia nacional de la mano de la narradora Josefina Péguy O'Dojherty, quién relata los hechos desde su sing"
1145,LAS MIL NAVES,"HAYNES, NATALIE",Narrativa historica,16,7,1,Muy bueno,0,"Una novela magistral sobre la guerra de Troya desde una perspectiva femenina.«Ésta nunca ha sido la historia de una mujer, ni de dos: es la de todas.»En plena noche, una mujer se despierta y observa q"
1146,ESVÁSTICAS EN EL SUR,"JAMISON, WAYNE",Narrativa historica,17,7,1,Muy bueno,0,"La provincia de Cádiz fue escenario de una de las batallas más importantes de la Segunda Guerra Mundial, que nada tuvo que ver con la librada en otros frentes. Su situación estratégica, con Gibraltar "
1147,EL COMPLOT CONTRA LOS ESCIPIONES,"MANFREDI, VALERIO MASSIMO",Narrativa historica,18,7,1,Muy bueno,1,"En el siglo ii a. C., en la República romana, una legión tiene la misión de llevar un cargamento de plomo a Roma. Sin embargo, este encargo oculta un valioso tesoro y los retractores del régimen de lo"
1148,BAJO LAS CENIZAS DE LA NAVARRERÍA,"PRO URIARTE, BEGOÑA",Narrativa historica,19,7,1,Muy bueno,0,"Desde su exilio en Calahorra, los caballeros navarros vencidos en la guerra de la Navarrería de 1276 ni olvidan ni perdonan. Los ocho años que han transcurrido desde entonces, no han contribuido a res"
1149,LA MAREA,"GIRONELLA, JOSÉ MARÍA",Narrativa historica,20,7,1,Muy bueno,1,"Años 30, Alemania. Una marea de entusiasmo inunda el país. El nuevo líder, el pensamiento compartido, la bonanza de las medidas y el sentimiento de raza. El protagonista será prisionero de los vaivene"
1150,ABD AL-RAHMAN AL-DAHIL,"VALDIVIESO RAMOS, DANIEL",Narrativa historica,21,10,3,Excelente,1,"La muerte del gran califa Hisham y su controvertida decisión de legar el poder a su disoluto sobrino al-Walid parecen haber abierto una profunda herida en el seno de la dinastía Omeya, que rige el des"
1151,EL SUEÑO DE BRAHMA.  LA LUNA CRECIENTE,"SÁEZ SCHULZ, CHRISTIAN",Narrativa historica,22,10,1,Excelente,0,"India Maurya del siglo III a.C. Chandra, un huérfano de baja casta, nos relata sus aciagas experiencias tras hacer frente a las supersticiones y prejuicios de su sociedad. Seguirá las lecciones de su "
1152,PARTE CUARTA DE LA LEYENDA DEL YNGENIOSO HIDALGO DON QUIJOTE DE LA MANCHA,"BESNÉ, ADRIÁN",Narrativa historica,23,10,1,Excelente,1,"Se cuenta en esta Parte Cuarta que, queriendo don Quijote, trocado agora don Alonso, que Sancho estudie, y habiendo ya aprendido en la aldea todo lo que el Bachiller y el Cura pueden enseñarle de las "
1153,PUERTO PROHIBIDO,"GUARINONI, MARIANA",Narrativa historica,24,10,1,Excelente,0,"Piamonte, 1613. Acostumbrada al lujo en la corte real de Torino, Isabella di Leonardi es arrastrada a vivir una pesadilla por una falsa acusación de brujería. Detenida por el Santo Oficio, siente que "
1154,SPICULUS,"TRANCHE, JUAN",Narrativa historica,25,9,10,Excelente,1,"Una trama repleta de acción que nos sumerge en el mundo de los gladiadores y su entorno.Pompeya. Siglo I d.C. Lucio y su esclavo Ronet son amigos desde niños. Su vida transcurre entre ilusiones, afici"
1155,LIBELO DE SANGRE,"AZA, SANDRA",Narrativa historica,26,8.82,9,Muy bueno,4,"Madrid, invierno de 1620. La felicidad del matrimonio formado por Sebastián Castro, un reputado escribano de la Villa, y Margarita Carvajal se tambalea cuando ambos se convierten en los principales so"
1156,EL CIRUJANO,"SLAUGHTER, FRANK G.",Narrativa historica,27,8,1,Muy bueno,0,"

"
1157,MÉXICO NEGRO,"MARTÍN MORENO, FRANCISCO",Narrativa historica,28,8,1,Muy bueno,1,"La inquietud por descubrir cómo se había financiado la Revolución Mexicana y quién aportó los recursos para que nos mataramos entre los mexicanos, fue el detonante que dio origen a esta reveladora nov"
1158,LA HUIDA DEL HERESIARCA,"CABEZAS VELASCO, MANUEL",Narrativa historica,29,8,1,Muy bueno,0,"Un antiguo aprendiz de librero había recibido un texto junto con otros escritos de manos de un fugitivo converso, huido de la Inquisición, allá por el año de 1483. Él mismo también tenía un pasado en "
1159,LÍNEA DE FUEGO,"PÉREZ-REVERTE, ARTURO",Narrativa historica,30,7.81,90,Muy bueno,15,"En la noche del 24 al 25 de julio de 1938, durante la batalla del Ebro, 2.890 hombres y 14 mujeres de la XI Brigada Mixta del ejército de la República cruzan el río para establecer la cabeza de puente"
1160,EL ESPEJO DE LAS ALMAS,"ESCOBAR, MARIO",Narrativa historica,31,7.67,6,Muy bueno,2,"Lovaina, comienzos del siglo XIII . En una floreciente comunidad de beguinas -mujeres laicas que decidían vivir juntas apartadas de los hombres, consagradas a sus labores intelectuales y al cuidado de"
1161,EL PRIMER SENADOR DE ROMA,"TORRES ZALBA, JUAN",Narrativa historica,32,7.33,3,Muy bueno,1,"En pleno siglo II antes de Cristo, Roma es la máxima potencia del Mediterráneo tras haber derrotado a la Cartago de Aníbal y a los poderosos reinos de Siria y Macedonia. Sin embargo, pese a su posició"
1162,LAS MIL NAVES,"HAYNES, NATALIE",Narrativa historica,33,7,1,Muy bueno,0,"Una novela magistral sobre la guerra de Troya desde una perspectiva femenina.«Ésta nunca ha sido la historia de una mujer, ni de dos: es la de todas.»En plena noche, una mujer se despierta y observa q"
1163,"¡BERNABÉ, BERNABÉ!","MATTOS, TOMÁS DE",Narrativa historica,34,7,1,Muy bueno,0,"En esta versión definitiva, Tomás de Mattos nos introduce en los años 1831-1832 de nuestra historia nacional de la mano de la narradora Josefina Péguy O'Dojherty, quién relata los hechos desde su sing"
1164,ESVÁSTICAS EN EL SUR,"JAMISON, WAYNE",Narrativa historica,35,7,1,Muy bueno,0,"La provincia de Cádiz fue escenario de una de las batallas más importantes de la Segunda Guerra Mundial, que nada tuvo que ver con la librada en otros frentes. Su situación estratégica, con Gibraltar "
1165,LA MAREA,"GIRONELLA, JOSÉ MARÍA",Narrativa historica,36,7,1,Muy bueno,1,"Años 30, Alemania. Una marea de entusiasmo inunda el país. El nuevo líder, el pensamiento compartido, la bonanza de las medidas y el sentimiento de raza. El protagonista será prisionero de los vaivene"
1166,LA VISITA EN EL TIEMPO,"ÚSLAR PIETRI, ARTURO",Narrativa historica,37,7,1,Muy bueno,0,"Don Juan de Austria nos aparece siempre envuelto por la leyenda: su resonante triunfo en Lepanto, su repentina muerte en plena juventud, su protagonismo en la conjura de Antonio Pérez, las vidriosas r"
1167,BAJO LAS CENIZAS DE LA NAVARRERÍA,"PRO URIARTE, BEGOÑA",Narrativa historica,38,7,1,Muy bueno,0,"Desde su exilio en Calahorra, los caballeros navarros vencidos en la guerra de la Navarrería de 1276 ni olvidan ni perdonan. Los ocho años que han transcurrido desde entonces, no han contribuido a res"
1168,EL COMPLOT CONTRA LOS ESCIPIONES,"MANFREDI, VALERIO MASSIMO",Narrativa historica,39,7,1,Muy bueno,1,"En el siglo ii a. C., en la República romana, una legión tiene la misión de llevar un cargamento de plomo a Roma. Sin embargo, este encargo oculta un valioso tesoro y los retractores del régimen de lo"
1169,LOS ANÓNIMOS DE LA GUERRA DE CUBA,"VIVAR, EMILIO",Narrativa historica,40,7,1,Muy bueno,1,"Esta historia está contada en tres planos: el de la actualidad, el de la década de los cincuenta del siglo pasado y el de la guerra de Cuba. La correspondencia entre una historiadora y un biólogo pert"
1170,FEMINISMO PARA PRINCIPIANTES,"VARELA, NURIA",No ficcion,1,8.65,23,Muy bueno,1,¿Quiénes eran las sufragistas? ¿De dónde sale el feminismo radical? ¿Por qué se habla de marxismo y feminismo como de un matrimonio mal avenido? ¿Por qué el feminismo ha sido vilipendiado y ridiculiza
1171,LAS EXTRANJERAS,"OLGUÍN, SERGIO",No ficcion,2,8.5,14,Muy bueno,3,"Dos jóvenes extranjeras, Petra y Frida, son asesinadas al término de una fiesta en una casa de la alta sociedad tucumana, en Yacanto del Valle. Sus cuerpos aparecen tirados en el campo con signos de v"
1172,QUERIDA IJEAWELE. Cómo educar en el feminismo,"NGOZI ADICHIE, CHIMAMANDA",No ficcion,3,8.35,31,Muy bueno,6,"El feminismo empieza en la educación. Con su voz cálida y directa, Chimamanda Ngozi Adichie dirige esta emotiva carta a una joven madre que acaba de dar a luz. En sus quince consejos, reivindica la fo"
1173,LA REBELIÓN DE LAS RATAS,"SOTO APARICIO, FERNANDO",No ficcion,4,8.33,15,Muy bueno,4,A continuacion se podrá apreciar la vida y la constante lucha de un hombre humilde con poca capaciadad economica que a como diera lugar tenia que lograr sacar a su familia de la inmundicia... Iniciamo
1174,"YO, CHRISTIANE F. (Hijos de la droga)","HERMANN, KAI y RIECK, HORST",No ficcion,5,8.29,21,Muy bueno,4,"Desgarradora historia real en la que la propia Christiane narra en primera persona sus experiencias en el mundo de la droga desde que, siendo aún una niña de tan solo 13 años, se inicia en el consumo "
1175,LOS HORNOS DE HITLER,"LENGYEL, OLGA",No ficcion,6,8.28,83,Muy bueno,18,"El presente libro es un testimonio, pues no reúne los requisitos de una crónica, de una sobreviviente de los campos de concentración Nazi de Auschwitz y Birkenau. Nombres de no grata memoria pues resu"
1176,ECONOMÍA SIN CORBATA. Conversaciones con mi hija,"VAROUFAKIS, YANIS",No ficcion,7,8.15,13,Muy bueno,1,"El ministro de Economía griego, Yanis Varoufakis, nos invita a conocer de una forma amena, educativa y crítica una serie de cuestiones fundamentales sobre economía: qué es la riqueza, qué es la pobrez"
1177,NACER MUJER EN CHINA. Las voces silenciadas,"XINRAN, XUE",No ficcion,8,8.14,14,Muy bueno,5,"El 1989, con los primeros indicios de apertura del régimen comunista chino, la periodista Xinran Xue inició un programa radiofónico en el que invitaba a las mujeres chinas a hablar de sus experiencias"
1178,INTRODUCCIÓN A LA CIENCIA,"ASIMOV, ISAAC",No ficcion,9,8.06,17,Muy bueno,1,"Vasto panorama científico, con datos, leyes y teorías, actualizados a nivel de alta divulgación.

"
1179,"ANTONIO B. EL RUSO, CIUDADANO DE TERCERA","PINILLA, RAMIRO",No ficcion,10,8.05,19,Muy bueno,5,"Basada en hechos reales, Antonio B. el Ruso, ciudadano de tercera es la narración en primera persona de la vida de un hombre desde su nacimiento en Las Cabreras (León) a principios de los años treinta"
1180,NO DIGAS NADA,"RADDEN KEEFE, PATRICK",No ficcion,11,8.05,16,Muy bueno,6,"En diciembre de 1972, varios encapuchados secuestraron a Jean McConville, una viuda de treinta y ocho años con diez hijos a su cargo. Nadie dudó, en aquel barrio católico de Belfast, que se trataba de"
1181,PONCHE DE ÁCIDO LISÉRGICO,"WOLFE, TOM",No ficcion,12,8,21,Muy bueno,2,"Estamos en los años sesenta y Ken Kesey, el autor de Alguien voló sobre el nido del cuco, ha reunido a su alrededor a los «bromistas», una desmadrada corte de jóvenes radicales embarcados en novísimos"
1182,LO QUE NO TIENE NOMBRE,"BONNETT, PIEDAD",No ficcion,13,7.96,23,Muy bueno,7,"«¿Hasta dónde puede llegar la literatura? En este libro dedicado a la vida y la muerte de su hijo Daniel, Piedad Bonnett alcanza con las palabras los lugares más extremos de la existencia. La naturali"
1183,PATRIMONIO: UNA HISTORIA VERDADERA,"ROTH, PHILIP",No ficcion,14,7.93,15,Muy bueno,2,"Herman Roth es un viudo de ochenta y seis años, un agente de seguros jubilado, conocido antaño por su genio, fortaleza y encanto, que lucha por su vida contra un tumor cerebral. En un portentoso acto "
1184,LA ISLA DE LOS HOMBRES SOLOS,"LEÓN SÁNCHEZ, JOSÉ",No ficcion,15,7.93,15,Muy bueno,2,"""Esta novela de José León Sánchez representa uno de los grandes best sellers de la literatura latioamercana.  Millones de lectores en todo el mundo se han estremecido al leer una narracióntan consiste"
1185,A SANGRE FRÍA,"CAPOTE, TRUMAN",No ficcion,16,7.87,1.136,Muy bueno,94,"El 15 de noviembre de 1959, en un pueblecito de Kansas, los cuatro miembros de la familia Clutter fueron salvajemente asesinados en su casa. Los crímenes eran, aparentemente, inmotivados, y no se enco"
1186,OPERACIÓN MASACRE,"WALSH, RODOLFO",No ficcion,17,7.86,33,Muy bueno,3,"«Hay un fusilado que vive», esta frase oída a finales de 1956 en un café de La Plata puso a Rodolfo Walsh tras la pista de un oscuro asunto de Estado que le cambiaría la vida. En junio de ese año, un "
1187,LA TIERRA DE CANAÁN,"ASIMOV, ISAAC",No ficcion,18,7.83,20,Muy bueno,1,"La serie informalmente titulada HISTORIA UNIVERSAL ASIMOV reúne las obras dedicadas por el gran novelista y divulgador científico a la evolución política, cultural y material de la humanidad. Partiend"
1188,LOS BARCOS QUE SE PIERDEN EN TIERRA,"PÉREZ-REVERTE, ARTURO",No ficcion,19,7.8,15,Muy bueno,3,Los mejores textos de Arturo Pérez-Reverte sobre su gran pasión: el mar.  Los barcos se pierden en tierra ofrece no sólo un insólito goce náutico sino una aproximación iluminadora a la personalidad y 
1189,MI VIEJO Y EL MAR,"HAYS, DAVID y HAYS, DANIEL",No ficcion,20,7.71,28,Muy bueno,4,"El 8 de enero de 1982 David y Daniel Hays lograron doblar el mítico cabo de Hornos a bordo del Sparrow: una autentica proeza para el pequeño balandro con el que habían navegado desde Long Island, a tr"
1190,SONRISAS DE BOMBAY: EL VIAJE QUE CAMBIÓ MI DESTINO,"SANLLORENTE, JAUME",No ficcion,21,7.65,17,Muy bueno,3,"En el año 2003 Jaume Sanllorente es un joven periodista con una vida exitosa en Barcelona. Un buen día, una agencia de viajes le convence para pasar sus vacaciones en la India. Jaume queda impactado e"
1191,MILAGRO EN LOS ANDES,"PARRADO, NANDO",No ficcion,22,7.63,27,Muy bueno,4,El viernes 13 de Octubre de 1972 un avión de las Fuerzas Aéreas uruguayas en el que viajaba un equipo de rugby y sus acompañantes con destino a Santiago de Chile se estrella en la Cordillera de los An
1192,HACIA RUTAS SALVAJES,"KRAKAUER, JON",No ficcion,23,7.6,142,Muy bueno,18,Edición conmemorativa del 20.ª aniversario de su publicación. Incluye epílogo del autor en el que pone al día las investigaciones sobre la causa de la muerte de Chris McCandless. «Hacia rutas salvajes
1193,EL MONSTRUO DE FLORENCIA. Una historia real,"PRESTON, DOUGLAS y SPEZI, MARIO",No ficcion,24,7.56,23,Muy bueno,4,"El oscuro y fascinante descenso a la investigación del asesino en serie que inspiró el personaje de Hannibal Lecter, y que culminó con la detención y extradición del escritor y del periodista que inte"
1194,MÁS GRANDES QUE EL AMOR,"LAPIERRE, DOMINIQUE",No ficcion,25,7.5,59,Muy bueno,2,"Un día hallándose de paso en Nueva York, Dominique Lapierre lee en un periódico una noticia sorprendente: «La Madre Teresa de Calcuta ha abierto, en pleno corazón de las calles más calientes de Manhat"
1195,¡VIVEN!. La tragedia de los Andes,"READ, PIERS PAUL",No ficcion,26,7.48,186,Muy bueno,15,"""Vengo de un avion que cayo en las montañas. Soy uruguayo...""  Asi comienza esta historia basada en un hecho real ocurrido en octubre de 1972. Cuenta la tragedia de un grupo de amigos y familiares que"
1196,EN LA PIEL DE UN YIHADISTA,"ERELLE, ANNA",No ficcion,27,7.46,13,Muy bueno,2,"Anna Erelle, seudónimo de una reportera free-lance en la treintena, adopta la personalidad de Mélodie para adentrarse en el mundo de los yihadistas. La periodista verifica las confidencia que su ""pret"
1197,EVEREST 1996,"BUKREEV, ANATOLI y DEWALT, G.W.",No ficcion,28,7.43,14,Muy bueno,1,El día 10 de mayo de 1996 dos expediciones comerciales lideradas por guías expertos atacan la cumbre más alta del mundo. Pero una tormenta cegadora junto con una inexplicable confluencia de fallos de 
1198,LA SANGRE DE LOS LIBROS,"POSTEGUILLO, SANTIAGO",No ficcion,29,7.42,112,Muy bueno,27,"Asesinatos, suicidios, duelos, condenas a muerte, guerras, eclipses, vampiros, misterios, juicios… Detrás de los grandes libros se esconde mucha más sangre de lo que uno podría imaginar. ¿Por qué Push"
1199,EL ARPA DE HIERBA,"CAPOTE, TRUMAN",No ficcion,30,7.42,57,Muy bueno,7,El arpa de hierba es un título fundamental en la obra de Truman Capote: una pieza clave de su polifacético universo literario y una muestra acabada del exquisito registro con que retrata las vivencias
1200,CON BUENA LETRA II,"SABINA, JOAQUÍN",No ficcion,31,7.4,15,Muy bueno,2,"Las letras de sus discos, numeroso material inédito, los «trajes a medida» escritos para otros artistas, el cine y la televisión, así como las nuevas letras de su disco «Alivio de luto» (2005). Además"
1201,CARTAS A UN JOVEN NOVELISTA,"VARGAS LLOSA, MARIO",No ficcion,32,7.5,16,Muy bueno,3,Mario Vargas Llosa dirige a todos aquellos que tienen la ilusión de llegar a ser escritores unas magníficas reflexiones en forma epistolar acerca del arte de narrar. Cómo comenzar a cristalizar esa vo
1202,DERSU UZALA,"ARSENIEV, VLADIMIR",No ficcion,33,7.35,15,Muy bueno,2,"Cuando en 1906  Vladimir Arseneiev oficial del ejército del zar y explorador regresó a Moscú de su primera expedición, con mapas de los desconocidos confines de Siberia y fue recibido como un héroe, s"
1203,TRECE ROSAS ROJAS. La historia más conmovedora de la guerra civil,"FONSECA, CARLOS",No ficcion,34,7.34,35,Muy bueno,2,"Trece chicas, siete de ellas menores de edad, murieron fusiladas la madrugada del 5 de agosto de 1939 contra las tapias del cementerio del Este en Madrid. Su delito: ser «rojas». Minutos antes habían "
1204,EL DIRECTOR. Secretos e intrigas de la prensa narrados por el exdirector de El Mundo,"JIMÉNEZ, DAVID",No ficcion,35,7.33,16,Muy bueno,1,"David Jiménez, corresponsal y reportero de guerra durante dos décadas, fue nombrado por sorpresa director de El Mundo. El ilusionante reto profesional terminó en una cruenta batalla por el control del"
1205,CON ÁNIMO DE OFENDER,"PÉREZ-REVERTE, ARTURO",No ficcion,36,7.32,95,Muy bueno,3,"Artículos de la página de opinión que, cada domingo publicaba Pérez-Reverte en El Semanal, con más de cuatro millones de lectores repartidos por veintisiete periódicos. La pasión, la ironía, el humor,"
1206,FARIÑA,"CARRETERO, NACHO",No ficcion,37,7.31,122,Muy bueno,18,"Coca, farlopa, perico, merca, Fariña. Nunca Galicia comercializó un producto con tanto éxito. Aunque ahora parezca una pesadilla lejana, en los años 90 el 80 por ciento de la cocaína desembarcaba en E"
1207,PATENTE DE CORSO,"PÉREZ-REVERTE, ARTURO",No ficcion,38,7.27,109,Muy bueno,1,"Desde hace años, cuatro millones de lectores de veinticuatro periódicos españoles leen cada fin de semana el artículo que Arturo Pérez-Reverte publica en el suplemento dominical El Semanal: su polémic"
1208,EL SUTIL ARTE DE QUE TE IMPORTE UNA MIERDA,"MANSON, MARK",No ficcion,39,7.26,13,Muy bueno,3,"En esta guía de autoayuda, el bestseller internacional que está definiendo a toda una generación, el bloguero superestrella Mark Manson nos demuestra que la clave para ser personas más seguras y felic"
1209,VIVIR ES UN ASUNTO URGENTE,"ALONSO PUIG, MARIO",No ficcion,40,7.22,18,Muy bueno,1,"Cuando el corazón se desboca, el cuerpo se tensa y el cerebro no funciona bien. Si nos sentimos en peligro, reaccionamos atacando, aislándonos o simplemente huyendo. Estas formas de actuar impiden que"
1210,LA ESPECIE ELEGIDA,"ARSUAGA, JUAN LUIS y MARTÍNEZ, IGNACIO",No ficcion,41,7.2,41,Muy bueno,3,"¿Es el hombre la consecuencia necesaria de la larga marcha de la evolución? O un accidente, resultado de una de tantas opciones posibles en la historia de la vida? Este libro nos ofrece la mejor y más"
1211,LA MALA HORA,"GARCÍA MÁRQUEZ, GABRIEL",No ficcion,42,7.18,93,Muy bueno,10,"En La mala hora, Gabriel García Márquez construye un inolvidable apólogo sobre la violencia colectiva. Al pueblo ha llegado «la mala hora» de los campesinos, la hora de la desgracia. La comarca ha sid"
1212,LA ROSA ESCONDIDA,"MONFORTE, REYES",No ficcion,43,7.07,28,Muy bueno,7,"La autora de Un burka por amor y Amor cruel vuelve con una nueva historia basada, esta vez, en la estremecedora vida de una inmigrante que llega a España huyendo de la guerra de Bosnia. Tras dejar atr"
1213,EL REY DE LA HABANA,"GUTIÉRREZ, PEDRO JUAN",No ficcion,44,7.06,18,Muy bueno,6,"Ésta es la historia de un joven adolescente lanzado a las calles de La Habana de los años noventa. Una novela basada en hechos reales, escrita crudamente, sin aderezos ni adornos, en la mejor tradició"
1214,"MENUDAS HISTORIAS DE LA HISTORIA. Anécdotas, despropósitos, algaradas y mamarrachadas de la humanidad","CONCOSTRINA, NIEVES",No ficcion,45,7.04,25,Muy bueno,1,"¿Cómo es posible que Adolf Hitler fuera candidato al Premio Nobel de la Paz? ¿Qué hacía Búfalo Bill dándose un garbeo con los sioux por las Ramblas de Barcelona? ¿Era el marqués de Sade, padre del sad"
1215,VIDA DESPUÉS DE LA VIDA,"MOODY, RAIMOND A. Jr.",No ficcion,46,7,16,Muy bueno,4,"El libro del Dr. Raymond Moody ""La vida después de la vida,"" salió en 1975 causando un gran revuelo. En esta obra Moody recoge una serie de relatos de las personas que superaron la muerte clínica. Los"
