,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
382,LOS CAMINANTES: NECRÓPOLIS,"SISÍ, CARLOS",Comics novela grafica,49,7.16,95,Muy bueno,15,"El campamento de Carranque vive momentos dulces. Tras haber sobrevivido el ataque del Padre Isidro y sus enloquecedoras huestes de caminantes, los supervivientes se entregan a ensoñaciones y esperanza"
383,EL LOTO AZUL. Las aventuras de Tintín,HERGÉ,Comics novela grafica,50,7.15,103,Muy bueno,1,Tintín viajará esta vez a la milenaria China. En Shangai descubre el origen de un poderoso veneno que hace enloquecer. Se enfrenta con una terrible banda de traficantes de opio y con unos agentes japo
384,MUCHO MÁS QUE FITNESS. Motívate y ponte en forma en 2 semanas,"ESCOLÀ, CESC",Deportes y juegos,1,10,1,Excelente,0,"Todos tenemos algo que se nos da bien, una magia que transmitir, y Cesc Escolà, el entrenador de moda más televisivo del momento, tiene el don de motivar a las personas para cambiar sus hábitos, hacer"
385,MI DIARIO DE YOGA. Cuerpo y mente sanos en 4 semanas,XUAN-LAN,Deportes y juegos,2,10,1,Excelente,1,"Descubre los conceptos básicos del yoga para conseguir el equilibrio entre mente y cuerpo. La profesora Xuan-Lan te propone un plan de 28 días con ejercicios de yoga diarios, a través de un método fác"
386,EL LARGO INVIERNO. Hooligans Ilustrados,"CAZÓN, PATRICIA",Deportes y juegos,3,9,1,Excelente,0,"“Era mayo de 1994, yo acababa de cumplir catorce años y la Cultu bajaba a Tercera. Primer descenso de mi vida. Qué quemazón en el pecho, un año por delante en el que todos los días serían de noche. A "
387,YONKIS Y GITANOS.  Hooligans Ilustrados,"LOBO, JOSÉ",Deportes y juegos,4,8.67,3,Muy bueno,0,"En realidad, la obra de Hemingway es un gran críptico sobre la historia sevillista. Y quien diga lo contrario, o se lo dijera a cierto chaval que vio a su equipo bajar con 16 años y ahí quedó tullido "
388,LA VIDA MOLA,"GÓMEZ, RAÚL (Maraton Man)",Deportes y juegos,5,8.33,3,Muy bueno,1,"La vida mola es el grito de guerra de Raúl Gómez, viajero, aventurero, y runner. Recorre el mundo a golpe de zapatilla en busca de historias inspiradoras de personas excepcionales con las que comparte"
389,COMO SIEMPRE LO DE SIEMPRE. Hooligans Ilustrados,"TABOADA, LUCÍA",Deportes y juegos,6,8,2,Muy bueno,0,"«El Celta rozó la hazaña», se pudo leer en todas las crónicas deportivas. Si el roce hace el cariño, la hazaña debe de querer muchísimo al Celta porque llevamos décadas rozándola, acariciándola y haci"
390,NIEVE NEGRA,"BENÍTEZ MONTAÑÉS, JORGE",Deportes y juegos,7,8,1,Muy bueno,0,"Curiosidades, traiciones y grandes rivalidades que han rodeado al ajedrez desde los maestros árabes que trajeron el tablero a España hasta el actual campeón Carslen, calculdor y frio como una computad"
391,CAMPO DEL GAS,"GARCI, JOSÉ LUIS",Deportes y juegos,8,8,1,Muy bueno,1,Un homenaje emotivamente nostálgico a los grandes días del boxeo por uno de los expertos más reconocidos de nuestro país: el director de cine José Luis Garci. Con su reconocida y habitual maestría lit
